Name,Link,Rating,Price,Discount,Pack,Ingredients,Discription
"Vitamin C Face Toner with Vitamin C & Cucumber for Pore Tightening, 200 ml",https://mamaearth.in/product/vitamin-c-face-toner-with-vitamin-c-cucumber-for-pore-tightening-200-ml,4.8,399,0%,200ml,"['vitamin c', 'cucumber', 'aloe vera extract', 'witch hazel']","Vitamin C Face Toner with Vitamin C & Cucumber for Pore Tightening, 200 mlThe second step in a skincare routine, toning helps clean leftover impurities and excess oil from the face. Regular application of toner helps tighten and cleanse pores from within while protecting the skin from acne and breakouts. Mamaearth Vitamin C toner has a unique alcohol-free formula and comes loaded with the goodness of Aloe Vera, Cucumber, Witch Hazel, and many other hardworking ingredients. Vitamin C in this toner supports the production of healthy collagen that brightens the complexion and boosts skin’s firmness. Witch Hazel reduces inflammation, tightens skin pores, and soothes acne-prone sensitive skin. The alcohol-free formula of this toner helps balance the pH level of your skin. Cucumber, a trusted skincare ingredient, offers hydration, reduces inflammation, and calms irritated skin. Mamaearth Vitamin C Face Toner is suitable for all skin types & free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
Aloe Vera Gel with Pure Aloe Vera & Vitamin E for Skin and Hair - 300ml,https://mamaearth.in/product/aloe-vera-gel-for-face-with-pure-aloe-vera-vitamin-e-for-skin-and-hair-300ml,5,399,0%,300ml,"['aloe vera', 'vitamin e', 'glycerin']",Aloe Vera Gel with Pure Aloe Vera & Vitamin E for Skin and Hair - 300ml
"Onion Hair Serum with Onion & Biotin for Strong, Frizz-Free Hair – 100 ml",https://mamaearth.in/product/onion-hair-serum-with-onion-biotin-for-strong-frizz-free-hair-100-ml,4.9,299,0%,100ml,"['onion seed extract', 'biotin', 'olive oil', 'd-panthenol']","Onion Hair Serum with Onion & Biotin for Strong, Frizz-Free Hair – 100 ml"
 Skin Correct Face Serum with Niacinamide and Ginger Extract for Acne Marks & Scars – 30 ml,https://mamaearth.in/product/skin-correct-face-serum-with-niacinamide-and-ginger-extract-for-acne-marks-scars-30-ml,5,599,0%,30ml,"['niacinamide', 'ginger extract', 'zinc pca', 'glycerin']", Skin Correct Face Serum with Niacinamide and Ginger Extract for Acne Marks & Scars – 30 ml
Tea Tree Face Wash + Charcoal Face Wash,https://mamaearth.in/product/tea-tree-face-wash-charcoal-face-wash,5,489,2%,null,"['neem', 'aloe vera', 'tea tree oil']",Tea Tree Face Wash + Charcoal Face Wash
 Ubtan Face Wash + Tea Tree Face Wash ,https://mamaearth.in/product/ubtan-face-wash-tea-tree-face-wash-pack-of-2,5,489,2%,null,"['neem', 'tea tree', 'saffron', 'turmeric']", Ubtan Face Wash + Tea Tree Face Wash 
" Ubtan Facewash for tan removal, Pack Of 2 ",https://mamaearth.in/product/ubtan-facewash-for-tan-removal-pack-of-2,5,489,2%,null,"['turmeric', 'walnut beads', 'licorice extract', 'carrot oil']"," Ubtan Facewash for tan removal, Pack Of 2 "
"Tea Tree Facewash for acne and pimples, Pack Of 2 ",https://mamaearth.in/product/tea-tree-facewash-for-acne-and-pimples-pack-of-2,5,489,2%,null,"['neem', 'aloe vera', 'tea tree oil']","Tea Tree Facewash for acne and pimples, Pack Of 2 "
"Charcoal Facewash for oil control, Pack Of 2 ",https://mamaearth.in/product/charcoal-facewash-for-oil-control-pack-of-2,4.9,489,2%,null,"['charcoal', 'clay', 'coffee', 'tea tree oil']","Charcoal Facewash for oil control, Pack Of 2 "
Skin Illuminate Face Serum for Radiant Skin with Vitamin C & Turmeric – 30 gm,https://mamaearth.in/product/skin-illuminate-face-serum-for-radiant-skin-with-vitamin-c-turmeric-30-gm,4.9,599,0%,null,"['vitamin c', 'nymphaea alba flower extract', 'turmeric', 'squalane']","Skin Illuminate Face Serum for Radiant Skin with Vitamin C & Turmeric – 30 gmMamaearth Skin Illuminate Face Serum is free of harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
Bye Bye Dark Circles Eye Cream with Cucumber & Peptides for Dark Circles – 20ml,https://mamaearth.in/product/bye-bye-dark-circles-eye-cream-with-cucumber-peptides-for-dark-circles-20ml,5,399,0%,20ml,"['cucumber extract', 'daisy flower extract', 'peptides', 'hawkweed extract']",Bye Bye Dark Circles Eye Cream with Cucumber & Peptides for Dark Circles – 20ml
Mamaearth Epsom Bath Salt for Relaxation and Pain Relief - 200 gm,https://mamaearth.in/product/buy-epsom-salt-online,5,399,0%,null,"['magnesium', 'detoxifying sulphates', 'lavender oil']",Mamaearth Epsom Bath Salt for Relaxation and Pain Relief - 200 gm
"Onion Hair Mask, For Hair Fall Control, With Onion Oil and Organic Bamboo Vinegar, 200ml",https://mamaearth.in/product/onion-hair-mask-for-hair-fall-control-with-onion-oil-organic-bamboo-vinegar-200ml,5,599,0%,200ml,"['onion oil', 'organic bamboo vinegar', 'coconut oil', 'rosemary oil']","Onion Hair Mask, For Hair Fall Control, With Onion Oil and Organic Bamboo Vinegar, 200ml"
"Onion Hair Oil for Hair Regrowth and Hair Fall Control with Redensyl, 150ml",https://mamaearth.in/product/onion-hair-oil-for-hair-regrowth-hair-fall-control-with-redensyl-150ml,4.9,399,0%,150ml,"['onion seed oil', 'redensyl', 'almond oil', 'bhringraj oil', 'amla oil', 'castor oil']","Onion Hair Oil for Hair Regrowth and Hair Fall Control with Redensyl, 150ml"
Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,https://mamaearth.in/product/mamaearth-onion-shampoo-for-hair-growth-hair-fall-control-with-onion-oil-plant-keratin-250-ml,4.8,349,0%,250ml,"['onion seed oil', 'd-panthenol', 'keratin', 'vitamin e']",Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml
"Onion Conditioner for Hair Growth and Hair Fall Control with Onion and Coconut, 250ml",https://mamaearth.in/product/mamaearth-onion-conditioner-for-hair-growth-hair-fall-control-with-onion-coconut-250ml,4.8,349,0%,250ml,"['onion seed oil', 'coconut', 'almond oil', 'coconut triglycerides']","Onion Conditioner for Hair Growth and Hair Fall Control with Onion and Coconut, 250ml"
"Neem Face Mask with Neem and Tea Tree for Pimples and Zits, 100 ml",https://mamaearth.in/product/neem-face-mask-with-neem-tea-tree-for-pimples-zits-100-ml,5,499,0%,100ml,"['neem oil', 'tea tree oil', 'apricot oil', 'mulberry extract']","Neem Face Mask with Neem and Tea Tree for Pimples and Zits, 100 ml"
Wedding Glow Skincare Kit,https://mamaearth.in/product/wedding-glow-skincare-kit,4.8,899,33%,null,"['saffron', 'turmeric', 'apricot oil', 'cucumber extract']",Wedding Glow Skincare Kit
"Ubtan Body Butter, For Dry Skin, With Turmeric & Honey, For Deep Nourishment – 200g",https://mamaearth.in/product/mamaearth-ubtan-body-butter-for-dry-skin-with-turmeric-honey-for-deep-nourishment-200g,4.9,599,0%,200g,"['turmeric', 'honey', 'shea butter', 'sunflower seed oil']","Ubtan Body Butter, For Dry Skin, With Turmeric & Honey, For Deep Nourishment – 200g"
"CoCo Body Butter for Dry Skin, with Coffee & Cocoa for Deep Moisturization- 200g",https://mamaearth.in/product/mamaearth-coco-body-butter-for-dry-skin-with-coffee-cocoa-for-deep-moisturization-200g,5,599,0%,200g,"['theobroma cocoa seed butter', 'coffee extract', 'shea butter', 'sunflower seed oil']","CoCo Body Butter for Dry Skin, with Coffee & Cocoa for Deep Moisturization- 200g"
"Nipple Butter Cream for sore & cracked nipples, 50ml",https://mamaearth.in/product/natural-nip-care-cream,4.8,500,0%,50ml,"['coconut oil', 'shea butter', 'calendula extract']","Nipple Butter Cream for sore & cracked nipples, 50ml"
"Skin Plump Serum For Face Glow, with Hyaluronic Acid & Rosehip Oil for Ageless Skin - 30ml",https://mamaearth.in/product/skin-plump-serum-for-face-glow-with-hyaluronic-acid-rosehip-oil-for-ageless-skin-30ml,4.8,599,0%,30ml,"['hyaluronic acid', 'rosehip oil', 'olive extract', 'coconut extract']","Skin Plump Serum For Face Glow, with Hyaluronic Acid & Rosehip Oil for Ageless Skin - 30ml"
"Onion Conditioner for Hair Growth and Hair Fall Control with Onion and Coconut, 400ml",https://mamaearth.in/product/onion-conditioner-for-hair-growth-and-hair-fall-control-with-onion-and-coconut-400ml,5,559,0%,400ml,"['onion seed oil', 'coconut', 'almond oil', 'coconut triglycerides']","Onion Conditioner for Hair Growth and Hair Fall Control with Onion and Coconut, 400ml"
Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 400ml,https://mamaearth.in/product/onion-shampoo-for-hair-growth-and-hair-fall-control-with-onion-oil-and-plant-keratin-400ml,4.9,559,0%,400ml,"['onion seed oil', 'd-panthenol', 'keratin', 'vitamin e']",Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 400ml
Hair Fall Control Regime Combo: Onion Shampoo 250ml + Onion Hair Mask 200ml,https://mamaearth.in/product/onion-mask-shampoo-combo,5,924,3%,250ml,"['onion oil', 'organic bamboo vinegar', 'coconut oil', 'keratin']",Hair Fall Control Regime Combo: Onion Shampoo 250ml + Onion Hair Mask 200ml
Mamaearth Under Eye Crème with Cucumber & Caffeine for Dark Circles - 50ml,https://mamaearth.in/product/eye-dark-circle-removal,4.9,599,0%,50ml,"['cucumber extract', 'white lily extract', 'coffee extract']",Mamaearth Under Eye Crème with Cucumber & Caffeine for Dark Circles - 50ml
Tea Tree Conditioner with Tea Tree & Ginger Oil for Dandruff Free Hair 250ml,https://mamaearth.in/product/mamaearth-tea-tree-conditioner-with-tea-tree-ginger-oil-for-dandruff-free-hair-250ml,5,349,0%,250ml,"['tea tree oil', 'ginger oil', 'almond oil']","Tea Tree Conditioner with Tea Tree & Ginger Oil for Dandruff Free Hair 250mlStimulate and renew your hair with an outlandish mix of Tea Tree and Ginger Oil that helps in reducing itch & irritation while contributing to the shine and smoothness of the hair and soothing dryness and itchiness. Mamaearth Tea Tree Conditioner is made using natural ingredients and makes sure that dandruff and excess oil are gently worked on & removed.Coconut oil present in the conditioner works like magic on dry and brittle scalp, making hair soft and smooth. Almond Oil nourishes and moisturizes hair while adding shine. Ginger Oil contributes to the health of the hair and soothes dryness. Safe for colored & chemically treated hair, this conditioner is free of harmful chemicals & toxins such as Silicones, Parabens, Mineral Oil, & Dyes."
Hair Fall Control Kit,https://mamaearth.in/product/hairfall-control-kit,4.9,949,32%,null,"['onion seed oil', 'redensyl', 'almond oil', 'bhringraj oil', 'amla oil', 'castor oil']",Hair Fall Control Kit
Bye Bye Blemishes Face Cream for Reducing Pigmentation & Blemishes with Mulberry Extract & Vitamin C – 30ml,https://mamaearth.in/product/bye-bye-blemishes-face-cream-for-pigmentation-blemish-removal-with-mulberry-extract-vitamin-c-30ml,4.9,449,0%,30ml,"['vitamin c', 'daisy flower extract', 'licorice extract', 'mulberry extract']",Bye Bye Blemishes Face Cream for Reducing Pigmentation & Blemishes with Mulberry Extract & Vitamin C – 30ml
" Castor Oil for Healthier Skin, Hair and Nails with 100% Pure and Natural Cold-Pressed Oil, 150ml",https://mamaearth.in/product/100-pure-natural-cold-pressed-castor-oil-for-healthier-skin-hair-nails-150ml,5,299,0%,150ml,['castor oil']," Castor Oil for Healthier Skin, Hair and Nails with 100% Pure and Natural Cold-Pressed Oil, 150ml"
"Hair Regrowth Combo : Onion Shampoo, 250ml + Onion Conditioner, 250ml",https://mamaearth.in/product/hair-regrowth-combo-onion-shampoo-onion-conditioner,4.9,679,3%,250ml,"['onion seed oil', 'd-panthenol', 'keratin', 'vitamin e']","Hair Regrowth Combo : Onion Shampoo, 250ml + Onion Conditioner, 250ml"
Revitalizing Turmeric Kits,https://mamaearth.in/product/revitalizing-turmeric-kit,5,1199,33%,null,"['aloe vera', 'turmeric', 'saffron', 'apricot oil']",Revitalizing Turmeric Kits
Aloe Turmeric Gel for Skin & Hair 150ml,https://mamaearth.in/product/aloe-turmeric-gel-for-skin-hair-150ml,5,249,0%,150ml,"['100% pure aloe vera', 'turmeric', 'vitamin e']",Aloe Turmeric Gel for Skin & Hair 150ml
"Aloe Turmeric Gel for Skin & Hair 300ml (Saver Pack, get 20% extra)",https://mamaearth.in/product/aloe-turmeric-gel-for-skin-hair-300ml,4.9,399,0%,300ml,"['100% pure aloe vera', 'turmeric', 'vitamin e']","Aloe Turmeric Gel for Skin & Hair 300ml (Saver Pack, get 20% extra)"
"Oil-Free Face Moisturizer for Acne-Prone Skin, 80ml",https://mamaearth.in/product/oil-free-face-moisturizer-with-apple-cider-vinegar-for-acne-prone-skin,4.9,299,0%,80ml,"['apple cider vinegar', 'cetearyl octanoate', 'betaine', 'fatty acids']","Oil-Free Face Moisturizer for Acne-Prone Skin, 80ml"
"Anti Acne Combo: Oil Free Moisturizer, 80ml + Ultra Light Indian Sunscreen, 80ml",https://mamaearth.in/product/anti-acne-combo-oil-free-moisturizer-ultra-light-indian-sunscreen,5,774,3%,80ml,"['turmeric', 'carrot seed oil', 'apple cider vinegar', 'betaine']","Anti Acne Combo: Oil Free Moisturizer, 80ml + Ultra Light Indian Sunscreen, 80ml"
"Skin Lightening & Brightening Combo : Ubtan Facemask, 100ml + Ubtan Facewash, 100ml",https://mamaearth.in/product/mamaearth-combos-skin-lightening-and-brightening-combo,4.8,724,3%,100ml,"['saffron', 'turmeric', 'cucumber extract', 'carrot seed oil']","Skin Lightening & Brightening Combo : Ubtan Facemask, 100ml + Ubtan Facewash, 100ml"
"Sun Protection Combo : Sunscreen, 80ml + Ubtan Facewash, 100ml",https://mamaearth.in/product/sun-protection-combo-sunscreen-ubtan-facewash,5,724,3%,80ml,"['saffron', 'turmeric', 'carrot seed oil', 'cucumber extract']","Sun Protection Combo : Sunscreen, 80ml + Ubtan Facewash, 100ml"
"Ultra Light Indian Sunscreen with Carrot Seed, Turmeric & SPF 50 PA+++ - 80ml",https://mamaearth.in/product/mamaearths-ultra-light-indian-sunscreen,4.9,499,0%,80ml,"['carrot seed oil', 'turmeric', 'orange oil', 'cananga oil']","Ultra Light Indian Sunscreen with Carrot Seed, Turmeric & SPF 50 PA+++ - 80ml"
"Overnight Repair Face Cream, 50ml",https://mamaearth.in/product/natural-night-cream,4.3,599,0%,50ml,"['daisy flower', 'saffron']","Overnight Repair Face Cream, 50ml"
Day & Night Cream Combo,https://mamaearth.in/product/mamaearth-day-and-night-cream-combo,4.9,1099,8%,null,"['pomegranate oil', 'moringa oil', 'mulberry extract', 'murumuru butter', 'daisy flower', 'saffron']",Day & Night Cream Combo Natural Radiance day cream & Overnight Repair Face Cream combo Natural Radiance day creamMamaearth’s Overnight Repair cream
"Tea Tree Anti Dandruff Hair Mask, 200ml",https://mamaearth.in/product/mamaearth-tea-tree-anti-dandruff-hair-mask,5,599,0%,200ml,"['tea tree oil', 'argan oil', 'lemon oil', 'cedarwood oil']","Tea Tree Anti Dandruff Hair Mask, 200mlMamaearth's Tea Tree Hair Mask helps you soothe the irritating oily and flaky scalp by controlling dandruff, thus giving you an itch-free healthy scalp and nourished hair. Lemon oil & Tea Tree oil make sure that the oil & dandruff are at bay while Coconut oil & Argan oil present in mask moisturize & nourish your hair. No matter what type of hair you have - dry hair, curly hair, colored hair, treated hair, oily hair – Mamaearth Tea Tree Mask suits them all!"
"Healthy Hair Combo : Shampoo, 200ml + Conditioner, 200ml",https://mamaearth.in/product/happy-heads-shampoo-no-more-tangles-conditioner-twin-pack,5,679,3%,200ml,"['biotin', 'horse chestnut', 'amla extract', 'bhringraj extract']","Healthy Hair Combo : Shampoo, 200ml + Conditioner, 200ml"
Ubtan Face Mask with Saffron & Turmeric for Skin Brightening and Tan Removal - 100g,https://mamaearth.in/product/ubtan-face-mask-for-skin-lightening-brightening,4.8,499,0%,100g,"['saffron', 'turmeric', 'apricot oil']","Ubtan Face Mask with Saffron & Turmeric for Skin Brightening and Tan Removal - 100gIndulge in the age-old tradition of Ubtan and let it rejuvenate your face for a fresh, bright, flawless look.

The goodness of Ubtan comprises Turmeric and Saffron – both ingredients that are revered for their benefits in imparting glowing skin and tan removal. Saffron clears spots and helps in tan removal, while the antioxidant properties of Turmeric protect the skin cells from free radical damage while keeping it healthy. Apricot Oil and Cucumber present in the Ubtan Face Mask help exfoliate, soothe and reduce tan for a glowing look.

Mamaearth Ubtan Face Mask is suitable for all skin types and is free of Parabens, Silicones, Sulfates, Phthalates, and Artificial Colors.

"
"Charcoal Secrets : C3 Face Mask, 100ml + Charcoal Facewash, 100ml",https://mamaearth.in/product/charcoal-secrets-c3-face-mask-charcoal-face-wash,4.8,799,6%,100ml,"['charcoal', 'coffee', 'kaolin clay', 'bentonite clay', 'tea tree oil']","Charcoal Secrets : C3 Face Mask, 100ml + Charcoal Facewash, 100ml"
"Natural Radiance Day Cream, 50ml",https://mamaearth.in/product/mamaearth-natural-radiance-day-cream,4.9,599,0%,50ml,"['pomegranate oil', 'moringa oil', 'mulberry extract', 'murumuru butter']","Natural Radiance Day Cream, 50ml"
"Charcoal Facewash for oil control, 100ml",https://mamaearth.in/product/best-charcoal-face-wash,4.8,249,0%,100ml,"['charcoal', 'clay', 'coffee', 'tea tree oil']","Charcoal Facewash for oil control, 100ml"
"Tea Tree Facewash for acne & pimples, 100ml",https://mamaearth.in/product/tea-tree-face-wash,4.9,249,0%,100ml,"['neem', 'aloe vera', 'tea tree oil']","Tea Tree Facewash for acne & pimples, 100ml"
"Ubtan Face Wash for Tan Removal, 100ml",https://mamaearth.in/product/ubtan-face-wash,4.9,249,0%,100ml,"['turmeric', 'walnut beads', 'licorice extract', 'carrot oil']","Ubtan Face Wash for Tan Removal, 100ml"
"Argan Hair Mask with Argan, Avocado Oil, and Milk Protein for Frizz-free & Stronger Hair – 200ml",https://mamaearth.in/product/argan-hair-mask,4.8,599,0%,200ml,"['argan oil', 'avocado oil', 'rosemary oil', 'milk protein']","Argan Hair Mask with Argan, Avocado Oil, and Milk Protein for Frizz-free & Stronger Hair – 200ml"
"C3 Face Mask for healthy & glowing skin, 100ml",https://mamaearth.in/product/buy-charcoal-face-mask,4.8,599,0%,100ml,"['charcoal', 'coffee', 'kaolin clay', 'bentonite clay']","C3 Face Mask for healthy & glowing skin, 100ml"
Anti Hair Fall Kit for complete hair care,https://mamaearth.in/product/anti-hair-fall-kit,4.8,1149,28%,null,"['bhringraj oil', 'biotin', 'cocoa butter', 'korean red ginseng']",Anti Hair Fall Kit for complete hair care
"Shampoo & Bodywash for men, 200ml",https://mamaearth.in/product/natural-shampoo-and-bodywash,4.9,349,0%,200ml,"['caffeine', 'tea tree oil', 'menthol']","Shampoo & Bodywash for men, 200ml"
"Reboot After Shave Lotion, 100ml",https://mamaearth.in/product/mens-aftershave-lotions,4.9,349,0%,100ml,"['green tea', 'witch hazel', 'tea tree oil']","Reboot After Shave Lotion, 100ml"
Hydrating Natural Body Lotion with Cucumber & Aloe Vera for Normal Skin - 250ml,https://mamaearth.in/product/body-lotion-for-normal-skin,5,299,0%,250ml,"['cucumber', 'aloe vera', 'coconut oil', 'shea butter']",Hydrating Natural Body Lotion with Cucumber & Aloe Vera for Normal Skin - 250ml
Tea Tree Anti-Dandruff Hair Regime Kit,https://mamaearth.in/product/tea-tree-anti-dandruff-hair-kit,4.9,999,23%,null,"['tea tree oil', 'agaan oil', 'lemon oil', 'cedarwood oil', 'ginger oil', 'vitamin e', 'almond oil']",Tea Tree Anti-Dandruff Hair Regime Kit
Tea Tree Shampoo for Dandruff Free Hair - 250ml,https://mamaearth.in/product/tea-tree-shampoo-for-dandruff-free-hair-250ml,4.9,349,0%,250ml,"['tea tree oil', 'ginger oil', 'vitamin e']","Tea Tree Shampoo for Dandruff Free Hair - 250mlStimulate and renew your hair with an outlandish mix of Tea Tree and Ginger Oil that helps in reducing itch & irritation while contributing to the health and cleanliness of the scalp and soothing dryness and itchiness.Mamaearth Tea Tree Shampoo is made using natural ingredients and makes sure that dandruff and excess oil is gently worked on & removed. It helps soothe irritating, oily, and flaky scalp by controlling dandruff; thus, giving you an itch-free healthy scalp and nourished hair. Vitamin E present in this shampoo helps maintain hair growth while promoting blood circulation, preventing breakage and deeply moisturizing hair.Safe for colored & chemically treated hair, this shampoo is free of harmful chemicals & toxins such as Silicones, Parabens, Mineral Oil, & Dyes."
Mamaearth Healing Body Lotion with Moroccan Argan and Macadamia Nut Oil for Dry Skin - 250 ml,https://mamaearth.in/product/healing-body-lotion,4.5,299,0%,250ml,"['moroccan argan oil', 'macadamia nut oil', 'olive oil']",Mamaearth Healing Body Lotion with Moroccan Argan and Macadamia Nut Oil for Dry Skin - 250 ml
Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination – 250ml,https://mamaearth.in/product/vitamin-c-face-wash-with-vitamin-c-and-turmeric-for-skin-illumination-250ml,5,399,0%,250ml,"['vitamin c', 'turmeric', 'aloe vera']","Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination – 250mlThe first step in a skincare routine, cleansing or washing your face, helps eliminate excess oil, dirt, and lethargy.Mamaearth Vitamin C Face Wash with Vitamin C and Turmeric's goodness has brightening properties to give your skin a natural glow. It also helps in skin repair by boosting collagen production and blood circulation, leaving the skin radiant and healthy. Perfect for daily use, this face wash suits all skin types, retains moisture, controls excess oil, and fights free radical damage. Dermatologically tested, this Vitamin C Face Wash has no harmful chemicals and is free of Toxins, Parabens, and Mineral Oils."
Vitamin C Bamboo Sheet Mask with Vitamin C & Honey for Skin Illumination - 25 g,https://mamaearth.in/product/vitamin-c-bamboo-sheet-mask-with-vitamin-c-honey-for-skin-illumination-25-g,5,149,0%,25g,"['vitamin c', 'honey', 'argan oil', 'niacinamide']","Vitamin C Bamboo Sheet Mask with Vitamin C & Honey for Skin Illumination - 25 gNeed that instant Vitamin C glow for your skin? Vitamin C Bamboo Sheet Mask is the pick me up your skin needs! Go, become a glow getter in just 15 minutes.Crafted with the goodness of Vitamin C and Honey, the sheet mask helps fight free-radical damage and reduces dark spots. Honey keeps the skin moisturized and plump. Together, they will make your skin look radiant. Want more? Our sheet masks come packed with nine days of serum hydration, giving you the shot of suppleness it needs.Mamaearth sheet masks are India’s 1st Bamboo-Based Masks, which means they’re gentle and biodegradable - great for your skin and great for the environment. The sheet mask is suitable for all skin types, is free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
Rose Water Bamboo Sheet Mask with Rose Water & Milk for Glowing Skin - 25 g,https://mamaearth.in/product/rose-water-bamboo-sheet-mask-with-rose-water-milk-for-glowing-skin-25-g,5,149,0%,25g,"['rose water', 'milk', 'niacinamide', 'avocado']","Rose Water Bamboo Sheet Mask with Rose Water & Milk for Glowing Skin - 25 gWake up and smell the roses - quite literally! Everyone wishes for hydrated, healthy, and glowing skin, and it’s time to make those dreams come true. Give your skin the freshness of roses and the brightness of milk with our Rose Water Bamboo Sheet Mask.Fight dehydration and dryness and say goodbye to skin problems like parched skin and dullness because Mamaearth Rose Bamboo Sheet Mask will give your skin a burst of moisture because it’s packed with nine days of serum hydration. Your skin will feel soft and soothed instantly and you’ll notice a natural, healthy glow. This is India’s 1st Bamboo-Based Sheet Mask. It’s gentle on your skin and biodegradable, making it great for you and for the environment. It is suitable for all skin types, is free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
Ubtan Bamboo Sheet Mask with Turmeric & Saffron for Skin Brightening - 25 g,https://mamaearth.in/product/ubtan-bamboo-sheet-mask-with-turmeric-saffron-for-skin-brightening-25-g,5,149,0%,25g,"['turmeric', 'saffron', 'green tea', 'kiwi']","Ubtan Bamboo Sheet Mask with Turmeric & Saffron for Skin Brightening - 25 gDo you want the traditional goodness of Turmeric and Saffron, without the hassle? Yes, please! Get brighter, more hydrated and fresher looking skin with Ubtan Bamboo Sheet Mask. This sheet mask is super effective as each one comes packed with nine days of serum hydration, making your skin brighter in just 15 minutes. Time to Get, Set, GLOW! Crafted with the goodness of Turmeric and Saffron, the Ubtan Bamboo Sheet Mask will help you win the battle against dull skin, dark spots & pigmentation. Our sheet masks aren’t just good for your skin, they’re environment-friendly too because they’re India’s 1st Bamboo-Based Sheet Masks. They are suitable for all skin types, are free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc.Our sheet masks aren’t just good for your skin, they’re environment-friendly too because they’re India’s 1st Bamboo-Based Sheet Masks. They are suitable for all skin types, are free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
Tea Tree Shampoo + Onion Hair Oil,https://mamaearth.in/product/tea-tree-shampoo-onion-hair-oil,5,724,3%,null,"['tea tree oil', 'ginger oil', 'vitamin e']",Tea Tree Shampoo + Onion Hair Oil
